Data,UserId,Accessi,Download,Upload
01/04/2013,4342,1,164166,3286
01/05/2013,4342,4,14322815,460824
01/06/2013,4342,3,1070621,62295
01/07/2013,4342,5,17671000,267890
01/08/2013,4342,5,6443,231
01/09/2013,4342,8,206185,611
01/10/2013,4342,1,35,2
01/11/2013,4342,2,38,2
01/12/2013,4342,3,17725,28898
01/13/2013,4342,9,138474,7052
01/14/2013,4342,8,194768,4702
01/15/2013,4342,5,327,2
01/16/2013,4342,5,33656,751
01/17/2013,4342,5,278262,59312
01/18/2013,4342,6,439247,37099
01/19/2013,4342,7,45703,417
01/20/2013,4342,6,16848627,662796
01/21/2013,4342,4,575,29
01/22/2013,4342,4,2,0
01/23/2013,4342,3,188138,2559
01/24/2013,4342,7,6457019,378415
01/25/2013,4342,9,36899,3146
01/26/2013,4342,9,3140,204
01/27/2013,4342,4,9829433,1425636
01/28/2013,4342,2,17923,1938
01/29/2013,4342,10,324,18
01/30/2013,4342,5,815,31
01/31/2013,4342,7,58,4
01/01/2013,4996,2,8314,699
01/02/2013,4996,10,3,0
01/03/2013,4996,3,5993575,128268
01/04/2013,4996,1,134,1
01/05/2013,4996,8,169263,41363
01/06/2013,4996,5,1093,7
01/07/2013,4996,1,1,0
01/08/2013,4996,9,90012,4634
01/09/2013,4996,1,364,94
01/10/2013,4996,1,326419,16184
01/11/2013,4996,9,1,0
01/12/2013,4996,1,0,1
01/13/2013,4996,2,61,4
01/14/2013,4996,4,6,51
01/15/2013,4996,9,24219287,67066
01/16/2013,4996,2,2043968,62258
01/17/2013,4996,4,6099064,100419
01/18/2013,4996,1,7,0
01/19/2013,4996,8,312674,16462
01/20/2013,4996,7,13,0
01/21/2013,4996,5,85,5
01/22/2013,4996,4,3070,13
01/23/2013,4996,10,775,39
01/24/2013,4996,7,1304425,63049
01/25/2013,4996,10,428,84
01/26/2013,4996,4,226,7
01/27/2013,4996,4,8,0
01/28/2013,4996,7,584,595
01/29/2013,4996,4,940,39
01/30/2013,4996,1,3255946,156276
01/31/2013,4996,4,37100,995
